text,language
ಪ್ರೋ ಕಬಡ್ಡಿ: ಗೆದ್ದು ಬೀಗಿದ ಬೆಂಗಳೂರು: ವೈರಲ್ ಆಯ್ತು 'ಈ ಸಲ ಕಮ್ ನಮ್ದೆ' ಹ್ಯಾಷ್​ ಟ್ಯಾಗ್,Kannada
     విధవలు రెండో పెళ్ళి చేసుకోకూడదని నమ్ముతుంది. రెండోపెళ్ళి చేసుకున్నవారు తిరిగి సంసారంతో సుఖంగా వ...,Telgu
இந்தியா,Tamil
 ಹಾಟ್​ಫೋಟೋ ಶೂಟ್​ನಿಂದ ಹೆಸರು ಮಾಡುತ್ತಿರುವ ಬಹುಭಾಷಾ ನಟಿ ಯಾರು..?,Kannada
    రాజ్ వేషంలో మార్పులేదు. కాకపోతే ముఖాన్ని సగం కప్పేస్తూ వున్న పెద్ద సైజు నల్లకళ్ళద్దాలు లేవు.  ...,Telgu
மேதீவுகளை மிரட்டிய இளமையும் அனுபவமும்  இந்தியா  ரன் குவிப்பு,Tamil
ಶಿವಣ್ಣ- ಸುದೀಪ್​ ಆಯಿತು,Kannada
"        ""ఊళ్ళో సన్నాయి మ్రోగితే గుండెలో గుబులుపుట్టడానికి నువ్వేం ఆడపిల్ల తల్లివి కాదుకదా?""     ...",Telgu
விளையாட்டு,Tamil
ಸಸ್ಪೆನ್ಸ್ ಸಾಮ್ರಾಜ್ಯ,Kannada
"    ""నా హృదయం ఎంతటి ఘోరాన్ని వినడానికి అయినా కఠిన పాషాణంలా వుంది. ఓర్పుగానే ఉంటాను తప్ప ప్రాణాలను ...",Telgu
தூத்துக்குடி போராட்ட நிகழ்வுகள்: பேரவையில் முதல்வர்‌ அறிக்கை,Tamil
ರಣಜಿ ಸೆಮೀಸ್​ಗೆ ಕರ್ನಾಟಕ ತಂಡ ಪ್ರಕಟ: ಮಯಾಂಕ್​ಗೆ ಸ್ಥಾನ,Kannada
"    ""అది మీకు కొత్తగాదు. నాకెవరూ దాన్ని నేర్పక్కర్లేదను కుంటాను. ఏ కమిటీ మెంబర్ సూక్ష్మ పరీక్షకయిన...",Telgu
தமிழ்நாடு,Tamil
ಡಾ. ರಾಜ್​ಕುಮಾರ್ ಸಿನಿಮಾಗಳ ಟೈಟಲ್​ ಬಳಸುವ ಮುನ್ನ ಎಚ್ಚರ!,Kannada
"     ""అంతా హంబగ్! బుల్ షిట్!"" అన్నాడు క్లయివు.     ""వాట్ డూయూ మీన్?"" అన్నాడు జాకాల్ పదునుగా.     క్...",Telgu
பணக்கார இந்திய விளையாட்டு வீரர் பட்டியலில் கோலி முதலிடம்  ,Tamil
ಬ್ರಾವೋ,Kannada
"         ""ఇవాళ్టినుంచి వైశాలిని కూడా కనిపెట్టి వుండు.""          ""యస్సార్!""          ఫోన్ పెట్...",Telgu
விளையாட்டு,Tamil
ಕೊಹ್ಲಿ ಹೋರಾಟಕ್ಕೆ ಸಾತ್ ನೀಡದ ಬ್ಯಾಟ್ಸ್​ಮನ್​ಗಳು; ಆಸ್ಟ್ರೇಲಿಯಾಕ್ಕೆ 32 ರನ್​ಗಳ ಜಯ,Kannada
"    ""ఎక్కడో కృష్ణాపురంలో జననాలకి- ఎప్పుడో ఒక వికృత శిశువుని కన్న ప్రతిమా అగర్వాల్ కి సంబంధం వుండి ...",Telgu
ரிசல்ட் அறிவிப்பில் மட்டும் மாற்றம் போதுமா? ஸ்டாலின் கேள்வி,Tamil
ಲಕ್ಷ್ಮಿ ಬಾರಮ್ಮ' ಧಾರಾವಾಹಿಯ ಚಿನ್ನು ಅಲಿಯಾಸ್​ ಲಚ್ಚಿಯ ಹಾಟ್​ ಲುಕ್​ ಹೇಗಿದೆ ಗೊತ್ತಾ..!,Kannada
                              హిమ సుందరి                                                        ...,Telgu
தமிழ்நாடு,Tamil
ರಾಜಸ್ಥಾನ್ ರಾಯಲ್ಸ್​​ vs ಕೋಲ್ಕತ್ತಾ​ ನೈಟ್ ರೈಡರ್ಸ್​​: ಕೋಲ್ಕತ್ತಾ ತಂಡಕ್ಕೆ 7 ವಿಕೆಟ್ಸ್​​ಗಳ ಭರ್ಜರಿ ಜಯ,Kannada
                        అధ్యాయం -      నాలుగేళ్ళు గడిచాయి. కాలనీ మధ్య నాటిన మొక్కలు ఏపుగా ఎదిగా...,Telgu
“பும்ரா புவனேஷ்குமார்  ஐபிஎல்ஐ தவிர்க்க வேண்டும்”  கோலி கோரிக்கை,Tamil
ನೀನಾಸಂ ಸತೀಶ್​ಗೆ ಇಂದು ಹುಟ್ಟುಹಬ್ಬದ ಸಂಭ್ರಮ: ಓಲ್ಡ್​ ಮದ್ರಾಸ್​ ರೋಡ್​ ಟೀಸರ್​ ಬಿಡುಗಡೆ,Kannada
    ఇంతలో  స్వామి  లోపలనుంచి  మావద్దకు  వచ్చారు.  మేమంతా  లేచి  నుంచున్నాము.  స్వామీజీ  మోము అంత  అం...,Telgu
விளையாட்டு,Tamil
ಆಸೀಸ್​ ಎದುರು ಮಂಡಿಯೂರಿದ ಭಾರತ; ಸರಣಿ ಸಮಬಲ,Kannada
"                         ఓ ఇల్లాలు కావాలి     ""నాన్నా....""     విశ్వనాథం తలెత్తాడు పేపర్లోంచి....",Telgu
“என் அப்பாவும் முன்னாள் எம்எல்ஏவும் தான் காரணம்” போட்டுடைத்த அம்ருதா!,Tamil
ಶರಣ್ ಜೊತೆ ನಮ್ಮ ಗಣಪ ಏನೆಲ್ಲಾ ಮಾತಾಡಿದ ಗೊತ್ತಾ? ಕಾಮಿಡಿ ಅಧ್ಯಕ್ಷ ವಿತ್ ಗಣನಾಯಕ! ಶರಣು ಗಣಪ-ಭಾಗ-1,Kannada
                          వ. సర్గ       మారుతితో - ఇంద్రజిత్తు యుద్ధము :-         .   ఎన...,Telgu
இந்தியா,Tamil
ಎಲ್ಲರಿಗೂ ಮಾದರಿಯಾಗಿತ್ತು ಅಂಬರೀಷ್​-ವಿಷ್ಣುವರ್ಧನ್​ ಗೆಳೆತನ,Kannada
     జితేంద్ర వెళ్ళిపోయాక అసలు నిద్ర రాలేదు లిఖితకు. అతను అన్నంత పని చేస్తాడని ఆమెకు తెలుసు. అంటే ఆ ...,Telgu
வேளாங்கண்ணி பேராலயத்தில் இன்று கொடியேற்றம்,Tamil
ವರ್ಷದ ಕನ್ನಡಿಗ ಕಾರ್ಯಕ್ರಮವನ್ನು ಕುರಿತು ತಮ್ಮ ಅಭಿಪ್ರಾಯವನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದ ಮೈಸೂರಿನ ರಾಜ ಯದುವೀರ ಒಡೆಯರ್​,Kannada
"    ""కానిస్టేబుల్స్ గదులన్నీ వెతకండి. తాళాలు వేసిన గదుల్ని తాళాలు పగలకొట్టి వెతకండి"" అన్నాడు వర్మ ...",Telgu
தமிழ்நாடு,Tamil
ಯಾವ ದೃಶ್ಯಕ್ಕೂ ಕತ್ತರಿ ಹಾಕದೆ ಮರಾಠಿ ಸಿನಿಮಾ ‘ನ್ಯೂಡ್​’ಗೆ ‘ಎ’ ಸರ್ಟಿಫಿಕೇಟ್,Kannada
    'నిశ్శబ్దం!' అన్నట్లు సైగ చేశాడు సాగర్ ఆ చెట్టుని పరిశీలనగా చూశాడు. తెల్లటి కొమ్మలతో బలహీనంగా...,Telgu
ஒரே வீட்டில்  பேர் மரணம்: போலீசாரை குழப்பும் மர்ம தடயங்கள்!,Tamil
ಧರ್ಮೇಂದ್ರ ಮತ್ತು ಹೇಮಾಮಾಲಿನಿ ವಿವಾಹ ವಾರ್ಷಿಕೋತ್ಸವ : ಪೋಷಕರಲ್ಲಿ ಕ್ಷಮೆಯಾಚಿಸಿದ ಪುತ್ರಿ,Kannada
"    నిస్సత్తువ నిండిన మనసుతో నిశ్చేష్టతాగా నిలిచిపోయి నిర్వేదంగా చూస్తుండిపోయాడు శరత్.     ""సుగాత్...",Telgu
இந்தியா,Tamil
ಅಶ್ವಿನ್-ಜಡೇಜಾ ದಾಳಿಗೆ ಅಫ್ಘಾನಿಸ್ತಾನ ತತ್ತರ: ಐತಿಹಾಸಿಕ ಟೆಸ್ಟ್​​ನಲ್ಲಿ ಭಾರತಕ್ಕೆ ಒಲಿದ ಜಯ,Kannada
"    మరునాడు  ప్రొద్దుటే  సాధన ఫోన్ చేసింది అజిత్ కు. ""సాయంత్రం ఫంక్షన్ అఖిలనూ ఆమె  ప్రేండునూ తీసుకుర...",Telgu
தென்னாப்பிரிக்கா அணிக்கு தொடரும் சிக்கல்,Tamil
ಕನ್ನಡ ರಾಜ್ಯೋತ್ಸವ ಆಚರಿಸಲು ಮೆಲ್ಬೋರ್ನ್​ನತ್ತ ಪ್ರಯಾಣ ಬೆಳೆಸಿದ ಶಿವಣ್ಣ-ಗೀತಾ ..!,Kannada
     బిగుసుకుపోయి ఇదంతా వింటున్నాడు భరత్.     సారధి చెప్పడం ముగించి కూర్చున్న తరవాత భరత్ తరపు లాయరు ...,Telgu
விளையாட்டு,Tamil
ಫ್ರೀಡಂ ಪಾರ್ಕ್​​ನಲ್ಲಿ ಡಬ್ಬಿಂಗ್​ ಪರ ಹಕ್ಕೊತ್ತಾಯ ಮಾಡಿದ ಕನ್ನಡ ಪರ ಸಂಘಟನೆಗಳು,Kannada
                                                                  ప్రేమ జ్వాల                     ...,Telgu
ஆதியின் பேச்சு யோசிக்க வைக்கிறது நடிகர் விவேக் கருத்து,Tamil
ಸರಣಿ ಗೆಲುವಿನ ಮೇಲೆ ಕೊಹ್ಲಿ ಕಣ್ಣು; ಮೊಹಾಲಿಯಲ್ಲಿ ಹೈವೋಲ್ಟೇಜ್ ಪಂದ್ಯದ ನಿರೀಕ್ಷೆ,Kannada
దాంతోశివరావు వాళ్ళూ ఎక్కిన బస్సు డ్రైవరుకి ఎంతగా కోపం రావాలో అంతగానూ కోపం వచ్చింది. దానికితోడు అంత ...,Telgu
சினிமா,Tamil
ಬಿಡುಗಡೆಯಾಯಿತು ಎ.ಆರ್​. ರೆಹಮಾನ್​ ಸಂಯೋಜನೆಯ 'ಸಂಜು' ಸಿನಿಮಾದ 'ರೂಬಿ ರೂಬಿ...' ಹಾಡು,Kannada
                                                                అంగన్ వాడీలో పనిచేస్తున్న  సుజాత ...,Telgu
பத்திரிகையாளர் கஷோகியை கொல்ல சவுதி இளவரசர் உத்தரவிட்டாரா?,Tamil
'ಕ್ರಿಕೆಟ್ ಜಗತ್ತಿನಲ್ಲಿ ಸಚಿನ್ ದೇವರು,Kannada
    దాంతో అతడి శరీరం అంతా గాజు పెంకులు గుచ్చుకుని రక్తం స్రవించసాగింది. అక్షౌహిణి కళ్ళు అశ్రుపూరిత...,Telgu
உலகம்,Tamil
'ಆಶಿಕ್​ ಬನಾಯಾ...' ಹಾಡಿನಲ್ಲಿ ಹಸಿಬಿಸಿ ದೃಶ್ಯದಲ್ಲಿ ಕಾಣಿಸಿಕೊಂಡಿದ್ದ ತನುಶ್ರೀ ಇವರೇನಾ ನೋಡಿ?,Kannada
"        ""నిజమే అంకుల్! మీ చేత్తో ఏమిచ్చినా అది దైవప్రసాదం అవుతుందని రంగమ్మ కూడా అంది.""         ""మ...",Telgu
இஞ்சினியர்களுக்கு பாடம் நடத்தும் ஏழாம் வகுப்பு மாணவன்,Tamil
ಡಬ್​ಸ್ಮ್ಯಾಶ್ ಸೇರಿದಂತೆ 16 ಆ್ಯಪ್​ಗಳು​ ಹ್ಯಾಕ್! ಈ ಅಪ್ಲಿಕೇಶನ್ ನಿಮ್ಮಲ್ಲಿದೆಯೇ ಎಂದು ಪರೀಕ್ಷಿಸಿಕೊಳ್ಳಿ,Kannada
"    నాగరాజు  ముఖం  కళావిహీనమై పోయింది. ""నువ్వు చెయ్యనితప్పుకు నీకు నువ్వు ఇంత శిక్ష విధించుకుంటావా ...",Telgu
இந்தியா,Tamil
ಪ್ರಾಣಿ ಪ್ರಿಯ ದರ್ಶನ್​ ಈಗ ಪರಿಸರ ಪ್ರೇಮಿ: ಕಾಡನ್ನೇ ದತ್ತು ಪಡೆಯಲಿರುವ ವನ ಸೇವಕ..!,Kannada
"    ""చూద్దాం... లే"" నీళ్ళల్లోంచే జవాబిచ్చింది ఇందుమతి.     పదినిమిషాలు గడిచాక నీళ్ళల్లోంచి ఒడ్డు...",Telgu
மதுரை தோப்பூரில் எய்ம்ஸ் மருத்துவமனை இதுவரை ஒப்புதல் இல்லையா?,Tamil
'ಬಿಗ್​ ಬಾಸ್​-6' ಮನೆಗೆ ಹೋಗಲು ಸಜ್ಜಾದ ಸೆಲೆಬ್ರಿಟಿಗಳು ಇವರೇ ನೋಡಿ...,Kannada
    ఇంట్లో వీళ్ళు ముగ్గురే వచ్చిన రెండోరోజునే అర్జంటు పనివచ్చి వైకుంఠం గారు పై వూరు వెళ్ళారు.    ...,Telgu
தமிழ்நாடு,Tamil
ಗಣಪನ ಮುಂದೆ ಮಕ್ಕಳಂತೆ ಕುಣಿದ ಪುನೀತ್​-ರಾಘಣ್ಣ ವಿಡಿಯೋ ವೈರಲ್​..!,Kannada
"డియర్! నీకు పిల్లలంటే అంత ఇష్టమా? అవునన్నట్టు తల ఆడించాడు. ""అయితే దానికి ఇంతకుముందు నేను వివరించ...",Telgu
காவிரி கரையோர மக்களுக்கு ரெட் அலர்ட்,Tamil
ಲೋಕಸಭೆ ಚುನಾವಣೆಗೆ ‘ನಟ ಪ್ರಕಾಶ್​ ರೈ’ ಸ್ಪರ್ಧೆ: ಆಪ್ತರಿಗೆ ಸಿಹಿಸುದ್ದಿ ಕೊಟ್ಟ ಜಸ್ಟ್​​​ ಆಸ್ಕಿಂಗ್​​ ರೂವಾರಿ!,Kannada
         ప్రమాదం తప్పిపోలేదు. డాక్టరు మాటగా ప్రాణభయం లేదు అంతే.          ప్రాణభయం లేంది ప్రమాదం...,Telgu
தமிழ்நாடு,Tamil
ವಿಶ್ವಕಪ್ ಫುಟ್ಬಾಲ್: ಉದ್ಘಾಟನಾ ಪಂದ್ಯದಲ್ಲಿ ರಷ್ಯಾ-ಸೌದಿ ಅರೆಬಿಯಾ ಸೆಣೆಸಾಟ,Kannada
"    వాళ్ళిద్దరూ ఆమెని అవతలికి లాక్కెళ్ళారు.         ""ట్వంటీ టూని నేనేం చేయలేదని మీరనుకుంటున్నారా?...",Telgu
ரஜினியின் ஓ ரிலீஸ் தள்ளிப்போனது ஏன்?,Tamil
ವಜ್ರದ ನೆಕ್ಲೆಸ್​ ಬೇಕಾ? ಹಾಗಿದ್ದರೆ ಈ ಸಿನಿಮಾದ ಟೈಟಲ್​ ಗೆಸ್ ಮಾಡಿ,Kannada
"    ""పరిస్థితుల ప్రభావం వల్ల మనుషులు ఎన్నో రకాలుగా మారుతూ వుంటారు. మీ జీవిత కథలు వింటుంటే నాకు మీమ...",Telgu
சினிமா,Tamil
ಜಿಯೋ ಬಳಕೆದಾರರಿಗೆ ಕ್ರಿಕೆಟ್ ಸುಗ್ಗಿ; ಜಿಯೋ ಟಿವಿಯಲ್ಲಿ ಭಾರತದ ಕ್ರಿಕೆಟ್ ಪಂದ್ಯಗಳು ಲಭ್ಯ,Kannada
"    ""సో- ముద్దయినా ఇవ్వకుండా నీ కన్యత్వాన్ని పరిరక్షించుకుంటావన్న మాట.""     ""ఛీఛీ- కన్యత్వం- పాతివ...",Telgu
பாரீசில் பயங்கரவாத தாக்குதல்: போலீஸ் அதிகாரி பலி,Tamil
ಅಂತರಾಷ್ಟ್ರೀಯ ಮಟ್ಟದಲ್ಲಿ ಮಿಂಚಲು ಸಜ್ಜಾಗಿದ್ದಾಳೆ ಸಕ್ಕರೆನಾಡಿನ ಹುಡುಗಿ,Kannada
    ఒకరోజు నీరసంగా పడుకున్న రాధికకి ఆపిల్ పండుకోసి ఒక్కొక్క ముక్కా అందిస్తున్నాడు సత్యం. మంచినీళ...,Telgu
உலகம்,Tamil
ನೊ ಮೇಕಪ್: ಬಾಲಿವುಡ್​ ನಟಿಯರಿಂದ ಹೊಸ ಟ್ರೆಂಡ್ ?,Kannada
                                కళారవిపోనీ పోనీ పోతే పోనీ!     సతుల్ సుతుల్ హితుల్ పోనీ! పో...,Telgu
 ஆயிரம் கிமீ சென்று தாக்கும் அக்னி  ஏவுகணை சோதனை வெற்றி,Tamil
ಶ್ರೀದೇವಿ ಮಗಳಿಗೆ ಮಧುಬಾಲಾ-ಮೀನಾಕುಮಾರಿ ಕನಸು!,Kannada
"    ""ఆహా.... వీర శివాజీగారు వచ్చేశారండీ!"" మళ్ళీ కవ్వించింది రాజ్యం.     ""నిన్నూ!"" మీద కెళ్లాడు.   ...",Telgu
இந்தியா,Tamil
ಖ್ಯಾತ ಚಲನಚಿತ್ರ ನಿರ್ದೇಶಕಿ ಕಲ್ಪನಾ ಲಾಜ್ಮಿ ಇನ್ನು ನೆನಪು ಮಾತ್ರ..!,Kannada
"    ""ఆ రాత్రి అలా నన్నెంతసేపు కొట్టారో హింసించారో తెలియదు. తెల్లవారి ఏడుగంటలకు నాకు స్పృహ వచ్చిం...",Telgu
நியூட்ரினோ திட்டம் அமலானால் மறக்காமல் மரம் வளர்க்கவும்!,Tamil
ನನ್ನ ಗಂಡನ್ನ ಇಂಡಸ್ಟ್ರಿಯಿಂದ ಬ್ಯಾನ್​ ಮಾಡಿ ಎಂದ ಹೆಂಡತಿ,Kannada
    నేను ఇలా మోడులా మిగిలిపోతానని వారానాడు ఎడురుచుడలేదు. భవిష్యత్తులో నా పెళ్ళికి నా సంసారానికి ఈ పా...,Telgu
தமிழ்நாடு,Tamil
ಗಾಯದ ನೆಪ ನೀಡಿದ ಗೋಲ್​ ಕೀಪರ್,Kannada
"    ""వదిలేస్తాను మీరూ తన్మయిని వదిలేస్తారా? తనని పంపించేస్తారా?"" అన్నాను.     అతను నా మీద నుంచి తనచ...",Telgu
லவ் மட்டுமே ஜிகாத் இல்லை  முடிவுக்கு வந்த ஹாதியா வழக்கு,Tamil
ಇಂಟರ್ನೆಟ್​ನಲ್ಲಿ ವೈರಲ್ ಆಯ್ತು ಧೋನಿ-ಕೊಹ್ಲಿ ಆತ್ಮೀಯ ಅಪ್ಪುಗೆ..!,Kannada
"    సరిగ్గా అదే సమయంలో లోనికి ప్రవేశించాడు రణదీఫ్. ""ఒక పీడా విరగడైపోయింది. ఆ జీపుని అమ్మేశాను"" అన్నా...",Telgu
இந்தியா,Tamil
ಅಭಿಮಾನಿಗಳ ನಡೆಗೆ ಕಿಚ್ಚ ಸುದೀಪ್ ಫುಲ್ ಖುಷ್,Kannada
    చేయి పట్టుకుని నడుస్తూనే తలపైకెత్తి తాతయ్య మొహంలోకి చూశాడు.     శాసించే వేదంలా బోధించే పురాణం...,Telgu
 அடி உயர கிறிஸ்துமஸ் மரம்!,Tamil
ಒಂದು ಕಾಲದಲ್ಲಿ ಹ್ಯಾಟ್ರಿಕ್​ ನಟಿ ಈಕೆ: ಈಗ ಕೇವಲ ಬೋಲ್ಡ್​ ಫೋಟೋಶೂಟ್​ನಿಂದಲೇ ಸುದ್ದಿಯಲ್ಲಿದ್ದಾರೆ..!,Kannada
    . విష్ణువు ద్యులోకమున ఆవిర్భవించినవాడు. ఫలదాతలలో శ్రేష్ఠుడు. యాగసహాయము కొఱకు యజమాని విష్ణువున...,Telgu
உலகம்,Tamil
ಟ್ವಿಟ್ಟರ್​ನಲ್ಲಿ ತನ್ನ ನಿಲುವು ಸ್ಪಷ್ಟಪಡಿಸಿದ ಶೃತಿ ಹರಿಹರನ್..!,Kannada
"    ""బాస్- మనం ఇలా ఊరుకుంటే లాభం లేదు- ముందు వీడ్ని చట్నీ చేసేస్తాను-"" అన్నాడు చంద్రకాంత్ ముందుకి ...",Telgu
’அண்ணன்  தம்பிங்க’: லண்டனில் பிராவோ பன்ச்!,Tamil
ಚಿತ್ರೀಕರಣಕ್ಕೆ ತೆರೆ ಎಳೆದ ವಿಶಾಲ್​ ಭಾರಾದ್ವಾಜ್​ ಅವರ 'ಪಟಾಕ' ಸಿನಿ ತಂಡ!,Kannada
    వేలు నరేష్ ఒకరికొకరు చూసుకుంటూ వలవలా ఏడ్చేశారు. ఎవరి బాధ వారికి గుర్తొచ్చి ఎదురుగ్గా ఆత్మీయుడ...,Telgu
விளையாட்டு,Tamil
ಉಪ್ಪಿ ಪ್ರಕಾರ ಹಳ್ಳಿಗಳು ಹೇಗಿರಬೇಕು?: ಸಂದರ್ಶನದಲ್ಲಿ ರಿಯಲ್ ಸ್ಟಾರ್​ ಹೇಳಿದ್ದಿಷ್ಟು,Kannada
    ఎంత మిత్రుడయినా ఇలాంటి విషయం ఏం చెప్పుకోగలడు? జ్యోతి ఇన్నాళ్ళకయినా కాస్త ధోరణి మార్చుకుని ప్రవర్...,Telgu
கடல் சீற்றம்: கடலுக்குள் செல்லாமல் கரையில் நிற்கும் படகுகள்,Tamil
ಭಾರತೀಯ ಪುರುಷರು ಹೇಡಿಗಳು ಎಂದ ಬಾಲಿವುಡ್ ನಟಿ !,Kannada
"    ""మీరు చెయ్యగలరు సార్. మీ సింప్లిసిటీని చూడగానే నాకా విషయం అర్థమైపోయింది సర్. ఛైర్మెన్ కి కాబో...",Telgu
தமிழ்நாடு,Tamil
ಜಯಪ್ರದಾ ಕೆಂಡಾಮಂಡಲ; ದರ್ಶನ್ ಕೋಪತಾಪ; ದರ್ಶನ ಸಿಗದ ನಟರ ಕೂಗಾಟ,Kannada
    సాధారణంగా అలాంటి ఇళ్ళల్లో వున్న స్త్రీలు బ్రా వేసుకోరు. ప్రతి అయిదు నిముషాలకోమారు దాన్ని తప్పి...,Telgu
'எல்லாம் முழு சம்மதத்துடன்தான் நடந்தது' கேரள பாதிரியார் வாக்குமூலம்,Tamil
ನಟ ದುನಿಯಾ ವಿಜಯ್ ರಿಂದ ಹಲ್ಲೆಗೊಳಗಾದ ಮಾರುತಿ ಗೌಡ ಹೇಳಿಕೆ,Kannada
"    వాడు లెక్కపెట్టి డబ్బు ఇచ్చాడు!     ""రెండున్నర లక్షలు లాభం"" అంది రాణీ నవ్వుతూ.     ""కమాన్ లె...",Telgu
இந்தியா,Tamil
ಭಾರತ-ಪಾಕ್ ಪಂದ್ಯದ ವೇಳೆ ಭಾರತದ ರಾಷ್ಟ್ರಗೀತೆ ಹಾಡಿದ ಪಾಕ್ ಅಭಿಮಾನಿ ಹೇಳಿದ್ದೇನು?,Kannada
"    తెల్లవారుజామున  నాలుగుగంటలవేళ కోరికతో గగ్గోలుపెడుతున్న భీమనాయక్ ని చూస్తూ  "" అన్నాడు రణధీర్.  ...",Telgu
சசிகலாவின் பரோல் விதிகள் சரியாக பின்பற்றப்படுகிறதா?: தமிழிசை கேள்வி,Tamil
ಸಾಕರ್​ ಮಾಂತ್ರಿಕನಿಗೆ ಇಂದು ಹುಟ್ಟುಹಬ್ಬದ ಸಂಭ್ರಮ: 31ನೇ ವಸಂತಕ್ಕೆ ಕಾಲಿಟ್ಟ ಲಿಯೋನೆಲ್​ ಮೆಸ್ಸಿ,Kannada
         అతనికి చిన్మయిలో యీ రోజు ఓ కొత్తరూపం గోచరించింది. ఆమె యింత అద్భుతంగా పాడగలదనీ ఆమెలో ఇంత...,Telgu
அரசியல்,Tamil
ಲಂಡನ್ ಇಂಡಿಯನ್​ ಸಿನಿಮೋತ್ಸವದಲ್ಲಿ ಇರ್ಫಾನ್​ ಖಾನ್​ಗೆ ಸ್ಪೆಷಲ್​ ಐಕಾನ್​ ಪ್ರಶಸ್ತಿ,Kannada
    మావాడలో ఇదొక జాఢ్యం. అయినదానికీ కానిదానికీ మైక్ సెట్ పెట్టేస్తారు. రజస్వల అయినదానికి కూడా ఇలా ...,Telgu
கேக்கில் மிக்ஸியும் கிரைண்டரும் ! சர்கார் வெற்றியை கொண்டாடிய படக்குழு,Tamil
ಯೋ ಯೋ ಟೆಸ್ಟ್​ನಲ್ಲಿ ಕೊಹ್ಲಿ ಪಾಸ್​ ಸ್ಟಾರ್​ ಆಟಗಾರ ಫೇಲ್,Kannada
"    ""నేను అమెరికానుంచి వచ్చాను. అక్కడి జీవితం నాపై చాలా ప్రభావాన్ని చూపించింది. అసలు ఫ్రీ లవ్ సొసైటీ...",Telgu
சினிமா,Tamil
ತಡವಾದ್ರು ತಯಾರಾಯಿತು ಹುಚ್ಚಚಿತ್ರ: ಟ್ರೇಲರ್ ಬಿಡುಗಡೆ,Kannada
                       ఉపసంహారం     చెప్పటం పూర్తిచేసి పట్నాయక్ బీరుగ్లాసు అందుకుని కుర్చీ వెనక్...,Telgu
குழந்தையை குப்பைத் தொட்டியில் போட்டு சாகடித்த சோகம் ,Tamil
ಮದುವೆ ಸಂಭ್ರಮದಲ್ಲಿ ಮಾಡಿದ ತಪ್ಪಿನಿಂದ ಟ್ರೋಲ್​ ಆದ ಪ್ರಿಯಾಂಕಾ ಚೋಪ್ರಾ..!,Kannada
    వెచ్చని ఆ పెదవుల తడి..... జీవితంలో మొదటి ముద్దు! పాపిడి తడిమి చూసుకున్నాను. తిన్నగా ఏ వంకరా లే...,Telgu
தமிழ்நாடு,Tamil
ಕ್ರಿಕೆಟ್ ದೇವರು ಸಚಿನ್​ರಿಂದ ಶಹಬ್ಬಾಸ್​ಗಿರಿ ಪಡೆದ ಆಟಗಾರನಿಗೆ 3 ವರ್ಷ ನಿಷೇಧ!,Kannada
"    పలకలేదతను.     ""ఈ సంసారాన్ని ఒక గట్టుకి చేర్చవలసిన వాడివి ఇక నీవే! నీ చెల్లెలు పెళ్ళి బాధ్యత అ...",Telgu
வில்லங்கம் தந்த ஃபேஸ்புக் நட்பு: சிறுமிக்கு பாலியல் வன்கொடுமை!,Tamil
ಪವನ್​ ಕಲ್ಯಾಣ್​​​​​ರ 'ಜನಸೇವಾ' ಪಕ್ಷಕ್ಕೆ ಸೇರ್ಪಡೆಗೊಂಡ ಕ್ರಿಕೆಟಿಗ ವೇಣುಗೋಪಾಲ್ ರಾವ್,Kannada
    ఒక బీరువాకొని గ్రంథాలయమంటూ ఒకటి ఏర్పాటుచేశారు. వ్రాతపత్రిక నొకదాన్ని నడుపుకొస్తున్నారు తురంగరా...,Telgu
தமிழ்நாடு,Tamil
'ಮೇಡಮ್​ ಟುಸ್ಸಾಡ್ಸ್'​​ನಲ್ಲಿ ದೀಪಿಕಾ : ಟ್ರೆಂಡ್​ ಆಗಿದ್ದು ಮಾತ್ರ ಪ್ಯಾಂಟ್,Kannada
"    ""ఏదైనా తెగేదాకా లాగకూడదని నీకు ఎప్పట్నుంచో చెబుతున్నాను. అయినా నీ అహంభావంతో నువు ణా మాటల్ని ఖా...",Telgu
“என்னைக் கொன்றிருக்கலாமே” : கண்ணீருடன் கர்ப்பிணி,Tamil
ಶ್ರೀದೇವಿ ಅವರ ಕಾಲ್‍ಶೀಟ್‍ಗೆ ಕಾಯುತ್ತಿದ್ದ ಟಾಲಿವುಡ್ ನಾಯಕರು: ಚಿರಂಜೀವಿಗೂ ಸಿಕ್ಕಿರಲಿಲ್ಲ ಡೇಟ್ಸ್,Kannada
"    ""దిగు"" అన్నాడు  కొరియన్.     తడుముకుంటూనే దిగాడు  సెబాస్టియన్.     అతని చేయి  అందుకున్నాడు  ...",Telgu
தமிழ்நாடு,Tamil
ಎನ್​ಟಿಆರ್ ಬಯೋಪಿಕ್​ಗೆ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಮಿಶ್ರ ಪ್ರತಿಕ್ರಿಯೆ,Kannada
     గౌతంకి యోగ తెలుసు.     గౌతం కళ్ళు మూసుకుని మైండ్ బ్లాంక్ గా పెట్టుకున్నాడు. నడవాలని పూర్తిగా స్...,Telgu
துர்நாற்றம் வீசும் உதகை படகு இல்லம் ஏரி,Tamil
